1498329758 ,-339486840 ,1139574745 ,513817921 ,1319411017 ,-1699269266 ,-1765331569 ,300950497 ,-16515576 ,653282784 ,
-1199214325 ,765221689 ,-1958013290 ,-746871049 ,-670715893 ,1126729297 ,-969831325 ,1995632102 ,767056753 ,484456896 ,
-1648805006 ,236723257 ,-356919949 ,-147722652 ,1045986481 ,-1609351130 ,-460601064 ,406466676 ,86248008 ,-653282784 ,
-1767166634 ,1348772041 ,60557112 ,1061584525 ,2015817806 ,1321246081 ,-166990824 ,1501082354 ,-1171688365 ,-1008367669 ,
-664293169 ,1050574141 ,376188120 ,-106433712 ,-1012037797 ,-643189932 ,-2021322998 ,-1622196578 ,1303812973 ,-748706112 ,
-1994714570 ,-1123976701 ,176166144 ,-130289544 ,-251403768 ,-856974889 ,2060776874 ,-641354869 ,248651172 ,-701911981 ,
-1805702978 ,1528608314 ,-1746980930 ,-1844239322 ,422064721 ,861562549 ,-584467884 ,844129441 ,-180753804 ,-2090137898 ,
-166073292 ,856057357 ,1712114714 ,-518405581 ,1303812973 ,-81660348 ,-1492824565 ,-723932749 ,278929728 ,-1231327945 ,
-378023184 ,-1052409205 ,-414724464 ,-687231469 ,-2045178830 ,1280874674 ,1611186193 ,857892420 ,-70649964 ,-2044261298 ,
1143244873 ,1066172185 ,-778067136 ,-1788269870 ,-1056996865 ,1490071970 ,1479061585 ,-254156365 ,1420339538 ,-756046369 ,

