8 ,15 ,2 ,6 ,4 ,8 ,11 ,15 ,10 ,13 ,
15 ,8 ,9 ,8 ,4 ,5 ,2 ,10 ,11 ,15 ,
3 ,3 ,1 ,11 ,4 ,1 ,3 ,13 ,4 ,5 ,
5 ,4 ,4 ,14 ,12 ,2 ,7 ,5 ,9 ,7 ,
7 ,12 ,1 ,8 ,1 ,7 ,9 ,7 ,6 ,2 ,
10 ,12 ,14 ,10 ,0 ,7 ,12 ,4 ,14 ,12 ,
0 ,6 ,14 ,13 ,7 ,3 ,8 ,10 ,8 ,1 ,
11 ,2 ,3 ,4 ,2 ,15 ,6 ,6 ,7 ,8 ,
0 ,1 ,1 ,10 ,15 ,6 ,11 ,12 ,7 ,6 ,
11 ,13 ,14 ,7 ,9 ,15 ,9 ,8 ,14 ,0 ,

8 ,15 ,2 ,6 ,4 ,8 ,11 ,15 ,10 ,13 ,
15 ,8 ,9 ,8 ,4 ,5 ,2 ,10 ,11 ,15 ,
3 ,3 ,1 ,11 ,4 ,1 ,3 ,13 ,4 ,5 ,
5 ,4 ,4 ,14 ,12 ,2 ,7 ,5 ,9 ,7 ,
7 ,12 ,1 ,8 ,1 ,7 ,9 ,7 ,6 ,2 ,
10 ,12 ,14 ,10 ,0 ,7 ,12 ,4 ,14 ,12 ,
0 ,6 ,14 ,13 ,7 ,3 ,8 ,10 ,8 ,1 ,
11 ,2 ,3 ,4 ,2 ,15 ,6 ,6 ,7 ,8 ,
0 ,1 ,1 ,10 ,15 ,6 ,11 ,12 ,7 ,6 ,
11 ,13 ,14 ,7 ,9 ,15 ,9 ,8 ,14 ,0 ,

